Massachusetts,6892503
Connecticut,3565287
New Hampshire,1359711
Maine,1344212
Rhode Island,1059361
Vermont,623989
New England,14845063
New York,19453561
Pennsylvania,12801989
New Jersey,8882190
Florida,21477737
Georgia,10617423
North Carolina,10488084
Virginia,8535519
Maryland,6045680
South Carolina,5148714
West Virginia,1792147
Delaware,973764
District of Columbia,705749
Tennessee,6829174
Alabama,4903185
Kentucky,4467673
Mississippi,2976149
Texas,28995881
Louisiana,4648794
Oklahoma,3956971
Arkansas,3017804
Illinois,12671821
Ohio,11689100
Michigan,9986857
Indiana,6732219
Wisconsin,5822434
Missouri,6137428
Minnesota,5639632
Iowa,3155070
Kansas,2913314
Nebraska,1934408
South Dakota,884659
North Dakota,762062
Arizona,7278717
Colorado,5758736
Utah,3205958
Nevada,3080156
New Mexico,2096829
Idaho,1787065
Montana,1068778
Wyoming,578759
California,39512223
Washington,7614893
Oregon,4217737
Hawaii,1415872
Alaska,731545
Puerto Rico,3193694
Guam,159358
Virgin Islands,106405
American Samoa,55519
Northern Mariana Islands,53883
